Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
6718385;11595733;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;1;1817
6718385;11595734;2;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;5;12500
6661924;11595742;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;965
6661924;11595743;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;9;7500
6691560;11595752;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1194
6691560;11595753;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;5;12350
6620491;11595760;1;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;5;12500
6620491;11595761;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6621832;11591285;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;25;910
6621832;11591286;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1698
6621833;11591293;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6660696;11591298;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6688544;11591301;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1845
6688544;11591302;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1102
6712271;11591303;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;940
6656026;11591304;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6495513;11591305;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6685661;11591308;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1435
6685661;11591309;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1870
6656027;11591310;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;19;2035
6656027;11591311;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;;
6695717;11591312;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1363
6660698;11591313;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1546
6660698;11591314;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1137
6660698;11591315;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1395
6485196;11591319;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6485196;11591320;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1271
6620514;11591321;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6656009;11591322;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;980
6656009;11591323;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6656010;11591324;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6660677;11591330;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;17;1760
6660677;11591331;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1250
6660677;11591332;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1205
6660677;11591333;4;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;2025
6660679;11591338;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;940
6660679;11591339;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;6;1110
6685650;11591341;1;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;0;14650
6685650;11591342;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1600
6652962;11591346;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;915
6652962;11591347;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;;
6660660;11587110;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1325
6660660;11587111;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6660661;11587113;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1715
6660661;11587114;2;50;raitiovaunu;-1;Ei arvoa;-1;Ei arvoa;;
6681776;11587115;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1030
6681776;11587116;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1660
6650612;11587117;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1200
6650612;11587118;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1600
6688568;11587121;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1700
6688568;11587122;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1200
6688569;11587123;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1541
6688569;11587124;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1395
6688570;11587129;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;9;1840
6688570;11587130;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1212
6685759;11587131;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;10;12650
