Onnett_id;Tienpit;Tienpitsel;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;Vakavuus;ELY;Elynimi;Vkpv;Ontyyppi;Ontyypsel;Onluokka;Onlksel;Osallkm;Nopraj;Taajmerk;Taajamasel;Pinta;Pintasel;Valoisuus;Valsel;Sää;Sääsel;Onnpaikka;Onnpaiksel;Liikvalot;Liikvalsel;Liittyvtie;Maakunta;Maakuntsel;Kunta;Kuntasel;Noplaji;Noplajisel;Nopsuunvas;Nopsuunoik;Taajama;Mo_mol;Mo_molsel;Toimluokka;Toimlksel;Kvl;Raskaskvl;Tienlev;X;Y;Tietyö;Päällyste;Päällsel;Lämpötila;Risteys;Risteyssel;Rautatie;Rautatsel;Muuliit;Muuliitsel;Katuosoite;Tietyyppi;Tietyypsel;Talvhoitlk;Talvhoitsel;Tienverkas;Tienverkse;Maankäyttö;Maankäytse;Valoohjaus;Valoohjsel;Lisäkaisty;Lisäkaisse;Solmutyyp;Solmutyyps;Liitluok;Liitlksel;Lähliittie;Suuntlkm;Toimenpide;Toimpidsel;Luovpvm;Valaisomis;Valomsel;Poikkileik;Poikleikse;Päällyslev;Päällystlk;Päällksel;Nakos150;Nakos300;Nakos460;Runkotie;Raskos
9332527;1;Väylävirasto;1;2;2436;2;2019;2;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Tiistai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;50;1;K;5;sohjoinen;3;pimeä (valaisematon);5;lumisade;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;6;yleisrajoitus taajamassa;50;50;K;-1;Ei arvoa;1;valtatie;;;;382577;6675844;E;1;kestopäällyste;-2;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE X TURUNTIE               ;3;kunnan katuosuus;-1;Ei arvoa;9;tieto puuttuu;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;10;Moniajoratainen liittymä;1;liittymä;;4;-1;Ei arvoa;;-1;Ei arvoa;2;2 ajor;;10;kovat asfaltit;;;;0;ei
9343914;1;Väylävirasto;1;3;12;1;2019;6;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Keskiviikko;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;50;0;E;1;paljas, kuiva;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;E;1;moottoritie;1;valtatie;30515;1051;201;382543;6675979;E;1;kestopäällyste;16;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
9398457;1;Väylävirasto;1;3;13;1;2019;9;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Perjantai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;60;0;E;2;paljas, märkä;1;päivänvalo;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;E;1;moottoritie;1;valtatie;30515;1051;201;382542;6675979;E;1;kestopäällyste;13;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
9398382;1;Väylävirasto;1;3;15;1;2019;9;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Sunnuntai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;40;1;K;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;1;toiminnassa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;50;K;1;moottoritie;1;valtatie;30515;1051;201;382540;6675979;E;1;kestopäällyste;10;4;liikennevalot;-1;Ei arvoa;-1;Ei arvoa;HUOPALAHDENTIE X TURUN MOOTTORITIE      ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;10;Moniajoratainen liittymä;1;liittymä;;4;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
9533397;1;Väylävirasto;1;3;76;1;2019;12;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Perjantai;82;suistuminen oik. oikealle kääntyvässä kaarteessa;1;yksittäisonnettomuus;1;50;1;K;2;paljas, märkä;4;tie valaistu;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;80;K;1;moottoritie;1;valtatie;30515;1051;234;382491;6675945;E;1;kestopäällyste;5;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
9388263;1;Väylävirasto;1;3;93;1;2019;8;2;Loukkaantumiseen johtanut;1;Uudenmaan ELY;Torstai;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;80;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;80;E;1;moottoritie;1;valtatie;30515;1051;234;382478;6675935;E;1;kestopäällyste;26;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
9343177;1;Väylävirasto;1;3;122;1;2019;5;2;Loukkaantumiseen johtanut;1;Uudenmaan ELY;Maanantai;83;suistuminen vas. oikealle kääntyvässä kaarteessa;1;yksittäisonnettomuus;1;100;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;80;E;1;moottoritie;1;valtatie;30515;1051;234;382452;6675923;E;1;kestopäällyste;10;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 1 MUNKKINIEMI                       ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
9342788;1;Väylävirasto;1;3;159;2;2019;5;2;Loukkaantumiseen johtanut;1;Uudenmaan ELY;Perjantai;8;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;6;peräänajo-onnettomuus;2;60;0;E;1;paljas, kuiva;1;päivänvalo;1;kirkas;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;E;1;moottoritie;1;valtatie;30515;1051;267;382443;6675867;E;1;kestopäällyste;17;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;3;lisäkaista kaikille;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
9333446;1;Väylävirasto;1;3;191;1;2019;3;2;Loukkaantumiseen johtanut;1;Uudenmaan ELY;Tiistai;82;suistuminen oik. oikealle kääntyvässä kaarteessa;1;yksittäisonnettomuus;1;100;0;E;1;paljas, kuiva;4;tie valaistu;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;60;100;E;1;moottoritie;1;valtatie;30515;1051;234;382385;6675917;E;1;kestopäällyste;-11;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TIE 1                                   ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
9534220;1;Väylävirasto;1;3;915;2;2019;12;2;Loukkaantumiseen johtanut;1;Uudenmaan ELY;Torstai;80;suistuminen oikealle suoralla ;1;yksittäisonnettomuus;1;80;0;E;6;jäinen;4;tie valaistu;1;kirkas;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;80;100;E;1;moottoritie;1;valtatie;30515;1051;267;381703;6675863;E;1;kestopäällyste;0;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;2;muu maankäyttö;-1;Ei arvoa;5;joukkoliikenteen kaista;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;115;10;kovat asfaltit;97;76;57;1;ei
9332146;1;Väylävirasto;1;3;1440;1;2019;2;2;Loukkaantumiseen johtanut;1;Uudenmaan ELY;Sunnuntai;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;80;0;E;-1;Ei arvoa;4;tie valaistu;6;räntäsade;1;ajorata;-1;Ei arvoa;;1;Uusimaa;91;Helsinki;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;30515;1051;234;381178;6676013;E;1;kestopäällyste;3;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;97;76;57;1;ei
9313006;1;Väylävirasto;1;4;34;2;2019;1;2;Loukkaantumiseen johtanut;1;Uudenmaan ELY;Tiistai;81;suistuminen vasemmalle suoralla ;1;yksittäisonnettomuus;1;100;0;E;5;sohjoinen;4;tie valaistu;6;räntäsade;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;73621;2823;221;378941;6676682;E;1;kestopäällyste;1;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;1.1.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;100;97;70;1;ei
9477445;1;Väylävirasto;1;4;581;1;2019;10;0;Ei henkilövahinkoja;1;Uudenmaan ELY;Tiistai;6;peräänajo jarruttavaan ajoneuvoon ;6;peräänajo-onnettomuus;2;60;0;E;2;paljas, märkä;2;hämärä;2;pilvipouta;1;ajorata;-1;Ei arvoa;;1;Uusimaa;49;Espoo;1;tiekohtainen rajoitus;100;100;E;1;moottoritie;1;valtatie;73621;2823;221;378404;6676650;K;1;kestopäällyste;12;0;linjaonnettomuus;-1;Ei arvoa;-1;Ei arvoa;TURUNVÄYLÄ                              ;1;yleinen tie;1;liukkaudentorjunta ilman toimenpideaikaa;2;keskustan ohikulku kaava-alueella;9;tieto puuttuu;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;;1;rakentaminen;30.6.1962;1;valtio omistaa;2;2 ajor;104;10;kovat asfaltit;100;97;70;1;ei
