,id,year,month,day_of_week,x,y,vehicle_mass,region,road_type,Seriousness
0,9955125,2021,1,Lauantai,467359.0,7140351.0,15800.0,Pohjois-Pohjanmaan ELY,seututie,Kuolemaan johtanut
1,9955125,2021,1,Lauantai,467359.0,7140351.0,890.0,Pohjois-Pohjanmaan ELY,seututie,Kuolemaan johtanut
2,9955126,2021,1,Perjantai,394015.0,6676586.0,1780.0,Uudenmaan ELY,seututie,Ei henkilövahinkoja
3,9955138,2021,1,Tiistai,435667.0,6901990.0,1645.0,Keski-Suomen ELY,valtatie,Ei henkilövahinkoja
4,9955138,2021,1,Tiistai,435667.0,6901990.0,1386.0,Keski-Suomen ELY,valtatie,Ei henkilövahinkoja
5,9955141,2021,1,Keskiviikko,252880.0,6708835.0,1441.0,Varsinais-Suomen ELY,kantatie,Ei henkilövahinkoja
6,9955141,2021,1,Keskiviikko,252880.0,6708835.0,1357.0,Varsinais-Suomen ELY,kantatie,Ei henkilövahinkoja
7,9955151,2021,1,Lauantai,377793.0,6846403.0,1368.0,Pirkanmaan ELY,valtatie,Ei henkilövahinkoja
8,9955151,2021,1,Lauantai,377793.0,6846403.0,9900.0,Pirkanmaan ELY,valtatie,Ei henkilövahinkoja
9,9955166,2021,1,Lauantai,256071.0,6995600.0,1360.0,Etelä-Pohjanmaan ELY,valtatie,Ei henkilövahinkoja
10,9955173,2021,1,Maanantai,258813.0,6731831.0,1335.0,Varsinais-Suomen ELY,seututie,Loukkaantumiseen johtanut
11,9955173,2021,1,Maanantai,258813.0,6731831.0,6200.0,Varsinais-Suomen ELY,seututie,Loukkaantumiseen johtanut
12,9955174,2021,1,Torstai,241402.0,6716561.0,12750.0,Varsinais-Suomen ELY,valtatie,Ei henkilövahinkoja
13,9955174,2021,1,Torstai,241402.0,6716561.0,1270.0,Varsinais-Suomen ELY,valtatie,Ei henkilövahinkoja
14,9955180,2021,1,Keskiviikko,282676.0,6704165.0,1105.0,Varsinais-Suomen ELY,seututie,Ei henkilövahinkoja
15,9955180,2021,1,Keskiviikko,282676.0,6704165.0,910.0,Varsinais-Suomen ELY,seututie,Ei henkilövahinkoja
16,9955184,2021,1,Maanantai,337845.0,6747348.0,1325.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
17,9955184,2021,1,Maanantai,337845.0,6747348.0,2110.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
18,9955184,2021,1,Maanantai,337845.0,6747348.0,1160.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
19,9955185,2021,1,Perjantai,305293.0,6822565.0,1445.0,Pirkanmaan ELY,yhdystie,Loukkaantumiseen johtanut
20,9955185,2021,1,Perjantai,305293.0,6822565.0,1565.0,Pirkanmaan ELY,yhdystie,Loukkaantumiseen johtanut
21,9955186,2021,1,Sunnuntai,352074.0,6693190.0,1330.0,Uudenmaan ELY,valtatie,Ei henkilövahinkoja
22,9955186,2021,1,Sunnuntai,352074.0,6693190.0,1733.0,Uudenmaan ELY,valtatie,Ei henkilövahinkoja
23,9955188,2021,1,Maanantai,407725.0,6956539.0,10200.0,Keski-Suomen ELY,valtatie,Ei henkilövahinkoja
24,9955197,2021,1,Sunnuntai,378616.0,6683605.0,1016.0,Uudenmaan ELY,seututie,Loukkaantumiseen johtanut
25,9955197,2021,1,Sunnuntai,378616.0,6683605.0,2118.0,Uudenmaan ELY,seututie,Loukkaantumiseen johtanut
26,9955206,2021,1,Lauantai,271558.0,6960997.0,13350.0,Etelä-Pohjanmaan ELY,kantatie,Loukkaantumiseen johtanut
27,9955206,2021,1,Lauantai,271558.0,6960997.0,2600.0,Etelä-Pohjanmaan ELY,kantatie,Loukkaantumiseen johtanut
28,9955207,2021,1,Sunnuntai,408902.0,7550015.0,2900.0,Lapin ELY,seututie,Ei henkilövahinkoja
29,9955207,2021,1,Sunnuntai,408902.0,7550015.0,,Lapin ELY,seututie,Ei henkilövahinkoja
30,9955208,2021,1,Maanantai,500068.0,6713058.0,1570.0,Kaakkois-Suomen ELY,valtatie,Ei henkilövahinkoja
31,9955209,2021,1,Keskiviikko,440609.0,6773727.0,1130.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
32,9955214,2021,1,Keskiviikko,380774.0,6882297.0,1385.0,Keski-Suomen ELY,kantatie,Ei henkilövahinkoja
